key,Bulk 1,Bulk 2,Bulk 3,Bulk 4,Bulk 5,Bulk 6,Bulk 7,Bulk 8,Bulk 9,Bulk 10,Bulk 11,Bulk 12,Bulk 13,Bulk 14,Bulk 15
1,,,,2019-05-03 11:28:48,,,,,,,,2019-05-03 11:24:31,,2019-05-03 11:14:50,2019-05-03 11:10:43
2,,,,2019-05-03 11:36:50,,,,,,,,2019-05-03 11:53:30,,2019-05-03 11:48:37,2019-05-03 11:44:39
3,,,,2019-05-03 12:32:39,,,,,,,,2019-05-03 12:27:13,,2019-05-03 12:21:01,2019-05-03 12:16:16
4,,,,2019-05-03 12:43:22,,,,,,,,2019-05-03 12:58:00,,2019-05-03 12:51:11,2019-05-03 12:46:36
5,,,,2019-05-03 13:30:47,,,,,,,,2019-05-03 13:30:47,,2019-05-03 13:34:12,2019-05-03 13:30:47
6,,,,2019-05-03 13:57:27,,,,,,,,2019-05-03 13:48:52,,2019-05-03 14:09:42,2019-05-03 14:03:15
7,,,,2019-05-03 14:18:58,,,,,,,,2019-05-03 14:41:26,,2019-05-03 14:30:50,2019-05-03 14:27:16
8,,,,2019-05-03 15:17:58,,,,,,,,2019-05-03 15:17:58,,2019-05-03 15:13:18,2019-05-03 15:05:33
9,,,,2019-05-03 16:03:08,,,,,,,,2019-05-03 16:03:08,,2019-05-03 16:00:16,2019-05-03 15:52:39
10,,,,,,,,,,,,2019-05-03 16:38:11,,2019-05-03 16:34:24,2019-05-03 16:29:56
11,,,,2019-05-03 17:32:23,,,,,,,,2019-05-03 17:27:28,,2019-05-03 17:19:41,2019-05-03 17:08:13
12,2019-05-03 17:42:46,,,2019-05-03 17:52:57,,,,,,,,2019-05-03 18:14:54,,2019-05-03 18:09:41,2019-05-03 17:52:57
13,,,,,,2019-05-03 19:09:15,,,,,,2019-05-03 19:03:59,,2019-05-03 18:59:12,2019-05-03 18:54:17
14,,,2019-05-03 20:40:25,,,,,,,,,2019-05-03 20:36:47,,2019-05-03 20:33:51,2019-05-03 20:25:29
15,,,,,,2019-05-03 21:36:10,,,,,,,,2019-05-03 21:19:15,2019-05-03 21:14:34
16,,,,,,,,,,,,2019-05-03 22:33:22,,2019-05-03 22:33:22,2019-05-03 22:33:22
17,,,,,,,,,,,,,,2019-05-03 23:14:00,2019-05-03 23:08:12
18,,,,,,2019-05-03 23:40:36,,,,,,2019-05-04 00:11:57,,2019-05-04 00:03:18,2019-05-03 23:57:18
19,,,,,,2019-05-04 01:14:08,,,,,,,,,
20,,,,,,,,,,,,,,2019-05-04 02:14:31,
21,,,2019-05-04 04:25:29,,,,,,,,,2019-05-04 04:20:44,,2019-05-04 03:58:14,2019-05-04 03:52:41
22,,,2019-05-04 05:15:12,,,,,,,,,,,2019-05-04 05:12:18,
23,,,,,,,,,,,,2019-05-04 05:41:29,,2019-05-04 06:17:15,2019-05-04 06:00:15
24,,,2019-05-04 07:13:45,,,2019-05-04 07:30:19,,,,,,2019-05-04 07:22:03,,2019-05-04 07:13:45,2019-05-04 06:47:01
25,,,2019-05-04 08:13:13,,,,,,,,,2019-05-04 08:08:33,,2019-05-04 08:04:15,2019-05-04 07:52:45
26,,,2019-05-04 08:46:22,,,,,,,,,,,,
27,,,,,,,,,,,,2019-05-04 09:12:04,,2019-05-04 09:21:48,2019-05-04 09:18:48
28,,,,,,,,,,,,2019-05-04 09:55:55,,2019-05-04 09:51:01,
29,,,2019-05-04 10:22:45,,,,,,,,,2019-05-04 10:33:44,,2019-05-04 10:30:52,2019-05-04 10:22:45
30,,,2019-05-04 10:45:40,,,,,,,,,2019-05-04 10:57:02,,2019-05-04 11:12:55,2019-05-04 11:04:20
31,,,,,,,,,,,,2019-05-04 11:44:21,,2019-05-04 11:48:49,2019-05-04 11:44:21
32,,,,,,,,,,,,2019-05-04 13:41:18,,2019-05-04 13:28:20,2019-05-04 13:07:38
33,,,2019-05-04 14:35:49,2019-05-04 14:33:18,,,,,,,,2019-05-04 14:22:38,,2019-05-04 14:16:49,2019-05-04 14:13:32
34,,,2019-05-04 15:01:26,,,,,,,,,2019-05-04 15:01:26,,2019-05-04 15:01:26,2019-05-04 14:55:35
35,,,2019-05-04 15:25:26,2019-05-04 15:25:26,,,,,,,,2019-05-04 15:25:26,,2019-05-04 15:33:37,2019-05-04 15:25:26
36,,,,2019-05-04 16:20:54,,,,,,,,2019-05-04 16:15:11,,2019-05-04 16:10:35,2019-05-04 16:02:58
