key,Время замера,Температура
1,2019-05-03 11:02:04,1571.0
1,2019-05-03 11:07:18,1604.0
1,2019-05-03 11:11:34,1618.0
1,2019-05-03 11:18:04,1601.0
1,2019-05-03 11:25:59,1606.0
1,2019-05-03 11:30:38,1613.0
2,2019-05-03 11:34:04,1581.0
2,2019-05-03 11:38:40,1577.0
2,2019-05-03 11:46:09,1589.0
2,2019-05-03 11:49:38,1604.0
2,2019-05-03 11:55:09,1602.0
3,2019-05-03 12:06:44,1596.0
3,2019-05-03 12:13:42,1597.0
3,2019-05-03 12:18:46,1598.0
3,2019-05-03 12:25:33,1599.0
3,2019-05-03 12:31:04,1600.0
3,2019-05-03 12:35:57,1599.0
4,2019-05-03 12:39:27,1601.0
4,2019-05-03 12:44:37,1623.0
4,2019-05-03 12:48:04,1618.0
4,2019-05-03 12:53:02,1617.0
4,2019-05-03 12:59:47,1625.0
5,2019-05-03 13:11:03,1576.0
5,2019-05-03 13:18:11,1592.0
5,2019-05-03 13:23:22,1589.0
5,2019-05-03 13:32:34,1586.0
5,2019-05-03 13:36:39,1602.0
6,2019-05-03 13:46:41,1543.0
6,2019-05-03 13:50:29,1581.0
6,2019-05-03 13:59:50,1600.0
6,2019-05-03 14:04:39,1600.0
6,2019-05-03 14:11:38,1596.0
7,2019-05-03 14:16:36,1586.0
7,2019-05-03 14:20:56,1582.0
7,2019-05-03 14:28:43,1599.0
7,2019-05-03 14:39:26,1595.0
7,2019-05-03 14:45:40,1599.0
8,2019-05-03 14:53:46,1577.0
8,2019-05-03 15:03:40,1604.0
8,2019-05-03 15:07:26,1600.0
8,2019-05-03 15:16:31,1600.0
8,2019-05-03 15:20:41,1598.0
9,2019-05-03 15:36:33,1587.0
9,2019-05-03 15:42:17,1589.0
9,2019-05-03 15:48:57,1597.0
9,2019-05-03 15:59:01,1589.0
9,2019-05-03 16:01:56,1586.0
9,2019-05-03 16:06:44,1592.0
10,2019-05-03 16:13:59,1574.0
10,2019-05-03 16:17:49,1580.0
10,2019-05-03 16:24:29,1585.0
10,2019-05-03 16:27:56,1586.0
10,2019-05-03 16:32:15,1586.0
10,2019-05-03 16:36:09,1586.0
10,2019-05-03 16:39:50,1593.0
11,2019-05-03 16:52:05,1616.0
11,2019-05-03 17:05:52,1608.0
11,2019-05-03 17:18:19,1583.0
11,2019-05-03 17:23:28,1604.0
11,2019-05-03 17:30:52,1598.0
11,2019-05-03 17:39:21,1597.0
12,2019-05-03 17:40:21,1606.0
12,2019-05-03 17:46:28,1606.0
12,2019-05-03 18:06:43,1585.0
12,2019-05-03 18:12:39,1588.0
12,2019-05-03 18:21:49,1591.0
13,2019-05-03 18:38:27,1596.0
13,2019-05-03 18:44:16,1602.0
13,2019-05-03 18:49:48,1610.0
13,2019-05-03 18:56:09,1613.0
13,2019-05-03 19:00:31,1621.0
13,2019-05-03 19:07:20,1615.0
13,2019-05-03 19:11:36,1619.0
14,2019-05-03 19:58:58,1583.0
14,2019-05-03 20:07:00,1581.0
14,2019-05-03 20:18:53,1602.0
14,2019-05-03 20:31:52,1596.0
14,2019-05-03 20:34:58,1600.0
14,2019-05-03 20:38:13,1593.0
14,2019-05-03 20:44:15,1606.0
15,2019-05-03 20:56:46,1605.0
15,2019-05-03 21:03:54,1607.0
15,2019-05-03 21:11:24,1611.0
15,2019-05-03 21:17:10,1613.0
15,2019-05-03 21:34:20,1599.0
15,2019-05-03 21:42:45,1598.0
