key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
1,2019-05-03 11:06:19,,,,,,,,
2,2019-05-03 11:36:50,,,,,,,,
3,2019-05-03 12:11:46,,,,,,,,
4,2019-05-03 12:43:22,,,,,,,,
5,2019-05-03 13:20:44,2019-05-03 13:15:34,,,,,,,
6,2019-05-03 13:57:27,2019-05-03 13:48:52,,,,,,,
7,2019-05-03 14:18:58,,,,,,,,
8,2019-05-03 15:01:30,,,,,,,,
9,2019-05-03 15:45:44,2019-05-03 15:39:37,,,,,,,
10,2019-05-03 16:27:00,2019-05-03 16:22:36,,,,,,,
11,2019-05-03 16:55:14,,,,,,,,
12,2019-05-03 17:42:46,,,,,,,,
13,2019-05-03 18:48:32,2019-05-03 18:40:57,,,,,,,
14,2019-05-03 20:13:48,2019-05-03 20:02:42,,,,,,,
15,2019-05-03 21:07:19,2019-05-03 21:00:19,,,,,,,
16,2019-05-03 22:17:49,2019-05-03 22:07:59,,,,,,,
17,2019-05-03 23:01:58,2019-05-03 22:52:57,,,,,,,
18,2019-05-03 23:40:36,2019-05-03 23:26:15,,,,,,,
19,2019-05-04 00:57:11,2019-05-04 00:44:32,,,,,,,
20,2019-05-04 02:05:50,2019-05-04 02:00:27,,,,,,,
21,2019-05-04 03:39:43,2019-05-04 03:32:33,,,,,,,
22,2019-05-04 05:05:42,2019-05-04 04:58:47,2019-05-04 04:34:27,,,,,,
23,2019-05-04 05:55:43,2019-05-04 05:46:53,2019-05-04 05:41:29,,,,,,
24,2019-05-04 06:41:44,2019-05-04 06:31:23,,,,,,,
25,2019-05-04 07:44:31,2019-05-04 07:35:15,,,,,,,
26,2019-05-04 08:35:27,,,,,,,,
27,2019-05-04 09:12:04,2019-05-04 09:01:48,,,,,,,
28,2019-05-04 09:45:27,,,,,,,,
29,2019-05-04 10:15:22,,,,,,,,
30,2019-05-04 10:57:02,2019-05-04 10:45:40,,,,,,,
31,2019-05-04 11:39:37,2019-05-04 11:32:42,,,,,,,
32,2019-05-04 12:56:16,,,,,,,,
33,2019-05-04 14:05:37,,,,,,,,
34,2019-05-04 14:51:06,,,,,,,,
35,2019-05-04 15:21:24,,,,,,,,
36,2019-05-04 15:57:37,,,,,,,,
37,2019-05-04 16:31:49,,,,,,,,
38,2019-05-04 17:30:02,,,,,,,,2019-05-04 17:21:27
39,2019-05-04 18:01:36,,,,,,,,
40,2019-05-04 19:21:42,,,,,,,,
43,2019-05-04 21:40:18,2019-05-04 21:33:25,,,,,,,
44,2019-05-05 00:06:57,,,,,,,,
45,2019-05-05 03:05:07,,,,,,,,
46,2019-05-05 06:38:14,,,,,,,,
47,2019-05-05 07:28:57,2019-05-05 07:22:08,,,,,,,
48,2019-05-05 08:02:57,2019-05-05 07:58:53,,,,,,,
49,2019-05-05 09:53:40,,,,,,,,
50,2019-05-05 11:12:42,,,,,,,,
57,2019-05-05 16:12:49,,,,,,,,
58,2019-05-05 17:12:58,2019-05-05 17:04:46,,,,,,,
59,2019-05-05 17:53:47,,,,,,,,
